db.paths.insert([{ "_id" : "f74b97b1-7d76-13e6-cb95-cfdbee49b000", "begin": "2edf3deb6a5f341f6566560b61d8c41015752fcd", "end": "a369de9949dd6cfba5785481cdf6928b3c7d2e46", "user": ""},
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a000", "begin": "a369de9949dd6cfba5785481cdf6928b3c7d2e46", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a001", "begin": "cc8ff1c4f981a0ea3d5e8c66be00b07f3c14d222", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a002", "begin": "ab3410b2f3810a4255fd926b179f2c5f0c23ffb2", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a003", "begin": "002ff91125e59a769416809a734a071f84f07abc", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a004", "begin": "cc8ff1c4f981a0ea3d5e8c66be00b07f3c14d222", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a005", "begin": "ab3410b2f3810a4255fd926b179f2c5f0c23ffb2", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a006", "begin": "16652977997b3667694098fb3f87865bc8cf8c54", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a007", "begin": "cc8ff1c4f981a0ea3d5e8c66be00b07f3c14d222", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a008", "begin": "ab3410b2f3810a4255fd926b179f2c5f0c23ffb2", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a009", "begin": "f41d27881065106fa1eedda2e2894453f19c25b1", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a010", "begin": "94ff3b04e99737f67454c5f9d206c8241a4eec44", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a011", "begin": "0bfcebfd615348810db07100a6b46f5c31b438a7", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a012", "begin": "9fae951cdbcc4c550cd7d3aa01225ee22b5a2d27", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a013", "begin": "b2d02f053f193145060bf76f4ee97232033b0db1", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a014", "begin": "5ff52ffd1e74d84d8d72ef4dc88b83089b689af1", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a015", "begin": "6b282d9be7a1755b3f8f9331a164a311ac911106", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a016", "begin": "3512b942b934633e89bc74d023fe44112b07d669", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a017", "begin": "2edf3deb6a5f341f6566560b61d8c41015752fcd", "end" : "ab3410b2f3810a4255fd926b179f2c5f0c23ffb2", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a018", "begin": "2edf3deb6a5f341f6566560b61d8c41015752fcd", "end" : "ab3410b2f3810a4255fd926b179f2c5f0c23ffb2", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a019", "begin": "2edf3deb6a5f341f6566560b61d8c41015752fcd", "end" : "ab3410b2f3810a4255fd926b179f2c5f0c23ffb2", "user": "" },
{ "_id": "f74b97b1-7d76-13e6-cb95-cfdbee49a031", "begin": "cc8ff1c4f981a0ea3d5e8c66be00b07f3c14d222", "end" : "2edf3deb6a5f341f6566560b61d8c41015752fcd", "user": "" },
